epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,21.2391,1.57347,3.05081,1.54092,0.01656,0.45656,0.24818,0.17188,1.30837,3.35866,1.26977,0.00036436,0.00036436,0.00036436
2,56.9294,1.55933,1.93501,1.52635,0.74439,0.37402,0.49499,0.28241,1.54726,2.40524,1.44678,0.000720147,0.000720147,0.000720147
3,71.7634,1.53028,1.6964,1.50743,0.53833,0.35934,0.47315,0.25696,1.54199,2.1543,1.52576,0.00106127,0.00106127,0.00106127
4,86.7382,1.532,1.63294,1.50937,0.76007,0.59782,0.67953,0.38063,1.47802,1.58019,1.50071,0.00104501,0.00104501,0.00104501
5,101.579,1.52123,1.55085,1.4989,0.75349,0.59289,0.73408,0.42939,1.43546,1.3765,1.43456,0.00102301,0.00102301,0.00102301
6,116.719,1.48348,1.46837,1.46894,0.66337,0.65804,0.6816,0.38265,1.49583,1.4906,1.46902,0.00100101,0.00100101,0.00100101
7,131.411,1.48833,1.43848,1.47236,0.73872,0.51876,0.67037,0.38168,1.60016,1.6136,1.58922,0.000979013,0.000979013,0.000979013
8,146.502,1.43707,1.36941,1.43176,0.81102,0.71596,0.81606,0.48698,1.36248,1.2484,1.36993,0.000957015,0.000957015,0.000957015
9,161.238,1.44231,1.31071,1.42576,0.73133,0.72723,0.81242,0.52295,1.25054,1.10664,1.29195,0.000935018,0.000935018,0.000935018
10,176.24,1.4109,1.27087,1.41233,0.82034,0.74889,0.83031,0.50366,1.33644,1.04823,1.36881,0.00091302,0.00091302,0.00091302
11,190.988,1.38725,1.24868,1.40774,0.85915,0.74675,0.84436,0.53712,1.26377,1.08352,1.30932,0.000891022,0.000891022,0.000891022
12,205.885,1.35367,1.19445,1.37796,0.88681,0.59707,0.76338,0.48347,1.36609,1.22847,1.38047,0.000869024,0.000869024,0.000869024
13,220.59,1.3815,1.19656,1.386,0.8704,0.75916,0.84461,0.53476,1.29748,1.04968,1.32038,0.000847026,0.000847026,0.000847026
14,235.328,1.36021,1.16806,1.37687,0.84774,0.70289,0.82018,0.51868,1.27191,1.01299,1.30675,0.000825029,0.000825029,0.000825029
15,250.231,1.36228,1.15941,1.38053,0.78654,0.76328,0.82976,0.49857,1.38127,1.10967,1.3627,0.000803031,0.000803031,0.000803031
16,265.119,1.32972,1.12125,1.34975,0.82069,0.72111,0.82527,0.51533,1.30005,1.021,1.32279,0.000781033,0.000781033,0.000781033
