FDC_ID,Item,Category,Calories,Protein,Carbohydrate,Total fat,Cholesterol,Fiber,Water,Alcohol,Vitamin C,Health Category
171331,"Spices, poultry seasoning",Spices and Herbs,307.0,9.59,65.59,7.53,0.0 mg,11.3,9.31 g,0.0 g,12.0 mg,Indulgent
172162,"Beef, plate steak, boneless, outside skirt, separable lean and fat, trimmed to 0"" fat, choice, raw",Beef Products,238.0,17.69,0.35,18.44,71.0 mg,0.0,62.64 g,0.0 g,0.0 mg,Indulgent
172920,"Soup, tomato rice, canned, prepared with equal volume water","Soups, Sauces, and Gravies",47.0,0.82,8.54,1.06,1.0 mg,0.7,88.52 g,0.0 g,5.8 mg,Indulgent
172659,"Lamb, Australian, imported, fresh, leg, bottom, boneless, separable lean and fat, trimmed to 1/8"" fat, raw","Lamb, Veal, and Game Products",187.0,20.97,0.0,11.43,63.0 mg,0.0,67.93 g,0.0 g,0.0 mg,Balanced
167754,"Pummelo, raw",Fruits and Fruit Juices,38.0,0.76,9.62,0.04,0.0 mg,1.0,89.1 g,,61.0 mg,Indulgent
169476,"Beef, shoulder top blade steak, boneless, separable lean only, trimmed to 0"" fat, select, cooked, grilled",Beef Products,187.0,27.96,0.0,8.34,98.0 mg,0.0,62.67 g,0.0 g,0.0 mg,Balanced
169144,"Beans, snap, canned, all styles, seasoned, solids and liquids",Vegetables and Vegetable Products,16.0,0.83,3.49,0.2,0.0 mg,1.5,94.3 g,,3.1 mg,Indulgent
173268,"Fast foods, biscuit, with crispy chicken fillet",Fast Foods,300.0,11.93,30.56,14.93,24.0 mg,1.4,39.4 g,0.0 g,0.7 mg,Balanced
174376,"Lamb, loin, separable lean and fat, trimmed to 1/8"" fat, choice, cooked, roasted","Lamb, Veal, and Game Products",290.0,23.27,0.0,21.12,93.0 mg,0.0,54.33 g,,0.0 mg,Indulgent
170011,"Peas, edible-podded, boiled, drained, without salt",Vegetables and Vegetable Products,42.0,3.27,7.05,0.23,0.0 mg,2.8,88.91 g,0.0 g,47.9 mg,Nourishing
171326,"Spices, nutmeg, ground",Spices and Herbs,525.0,5.84,49.29,36.31,0.0 mg,20.8,6.23 g,0.0 g,3.0 mg,Indulgent
168125,"Babyfood, dinner, macaroni, beef and tomato sauce, toddler",Baby Foods,82.0,4.34,11.53,1.9,7.0 mg,1.1,81.81 g,0.0 g,1.9 mg,Balanced
173780,SILK Black Cherry soy yogurt,Legumes and Legume Products,88.0,2.35,17.06,1.18,0.0 mg,0.6,78.18 g,,17.6 mg,Balanced
173673,"Fish, mackerel, spanish, raw",Finfish and Shellfish Products,139.0,19.29,0.0,6.3,76.0 mg,0.0,71.67 g,0.0 g,1.6 mg,Balanced
174547,"CAMPBELL'S, Tomato Soup, condensed","Soups, Sauces, and Gravies",71.0,1.46,15.22,0.44,0.0 mg,1.1,80.79 g,,4.8 mg,Indulgent
173712,"Fish, whitefish, mixed species, smoked",Finfish and Shellfish Products,108.0,23.4,0.0,0.93,33.0 mg,0.0,70.83 g,0.0 g,0.0 mg,Nourishing
171110,"Chicken, canned, no broth",Poultry Products,185.0,25.3,0.9,8.1,50.0 mg,0.0,64.9 g,0.0 g,0.0 mg,Balanced
170641,"Beef, loin, tenderloin steak, boneless, separable lean only, trimmed to 0"" fat, all grades, cooked, grilled",Beef Products,198.0,30.7,0.0,8.32,93.0 mg,0.0,60.76 g,0.0 g,0.0 mg,Balanced
168022,"Rhubarb, wild, leaves (Alaska Native)",American Indian/Alaska Native Foods,61.0,4.2,9.9,0.5,,,83.5 g,,33.0 mg,Balanced
175081,"Martha White Foods, Martha White's Buttermilk Biscuit Mix, dry",Baked Products,388.0,7.81,59.41,13.23,3.0 mg,1.5,10.0 g,,0.2 mg,Indulgent
168374,"Pork, ground, 84% lean / 16% fat, cooked, pan-broiled",Pork Products,301.0,27.14,0.0,21.39,97.0 mg,0.0,51.97 g,0.0 g,0.0 mg,Indulgent
169227,"Dandelion greens, cooked, boiled, drained, without salt",Vegetables and Vegetable Products,33.0,2.0,6.4,0.6,0.0 mg,2.9,89.8 g,0.0 g,18.0 mg,Nourishing
168607,"Beef, brisket, whole, separable lean only, all grades, raw",Beef Products,157.0,20.72,0.6,7.37,62.0 mg,0.0,70.29 g,0.0 g,0.0 mg,Balanced
169603,"Puddings, chocolate, dry mix, regular",Sweets,362.0,2.6,89.3,2.1,0.0 mg,4.5,4.0 g,0.0 g,0.0 mg,Indulgent
173490,"Babyfood, dinner, macaroni and tomato and beef, strained",Baby Foods,61.0,2.36,9.45,1.47,7.0 mg,1.2,86.34 g,0.0 g,0.3 mg,Balanced
171515,"Chicken breast tenders, breaded, uncooked",Poultry Products,263.0,14.73,15.01,15.75,41.0 mg,1.1,52.74 g,0.0 g,0.8 mg,Indulgent
169906,"Pork, cured, ham, boneless, low sodium, extra lean and regular, roasted",Pork Products,165.0,22.0,0.5,7.7,57.0 mg,0.0,65.8 g,0.0 g,0.0 mg,Balanced
173445,"Yogurt, vanilla or lemon flavor, nonfat milk, sweetened with low-calorie sweetener",Dairy and Egg Products,43.0,3.86,7.5,0.18,2.0 mg,0.0,87.43 g,0.0 g,1.1 mg,Balanced
171905,"Beverages, Eggnog-flavor mix, powder, prepared with whole milk",Beverages,95.0,2.93,14.2,3.02,11.0 mg,0.0,79.16 g,0.0 g,0.0 mg,Balanced
168104,"Frozen yogurts, chocolate",Sweets,131.0,3.0,21.6,3.6,13.0 mg,2.3,71.2 g,0.0 g,0.0 mg,Balanced
174652,"Cereals ready-to-eat, QUAKER, Christmas Crunch",Breakfast Cereals,397.0,4.44,85.92,4.83,0.0 mg,2.6,2.5 g,0.0 g,0.1 mg,Indulgent
171745,"Beef, round, eye of round roast, boneless, separable lean and fat, trimmed to 0"" fat, all grades, raw",Beef Products,124.0,23.27,0.0,3.44,60.0 mg,0.0,73.09 g,0.0 g,0.0 mg,Nourishing
171204,"Beef, chuck for stew, separable lean and fat, select, cooked, braised",Beef Products,186.0,32.29,0.0,6.34,102.0 mg,0.0,60.97 g,0.0 g,0.0 mg,Balanced
169632,"Frozen novelties, fruit and juice bars",Sweets,87.0,1.2,20.2,0.1,0.0 mg,1.0,78.3 g,0.0 g,9.5 mg,Indulgent
